address,zipcode,price,housing_type,status,layout,link
"5011 N Ravenswood Avenue, Chicago, IL 60640",60640,"$699,000",Multi Family,Active,"['5BEDS', '4TOTAL BATHS']",https://bestchicagoproperties.com/listings/listing/MRED/11944348/Chicago/5011-N-Ravenswood-Avenue
"4936 N WINTHROP Avenue GE, Chicago, IL 60640",60640,"$165,000",Condominium,Active,"['2BEDS', '1TOTAL BATH', '950SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12219100/Chicago/4936-N-WINTHROP-Avenue-GE
"929 W Eastwood Avenue 1W, Chicago, IL 60640",60640,"$385,000",Condominium,Active,"['2BEDS', '2TOTAL BATHS', '1,100SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12218427/Chicago/929-W-Eastwood-Avenue-1W
"5040 N Marine Drive D3, Chicago, IL 60640",60640,"$131,900",Condominium,Active,"['1BED', '1TOTAL BATH', '800SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12218374/Chicago/5040-N-Marine-Drive-D3
"1226 W Argyle Street 1E, Chicago, IL 60640",60640,"$474,900",Condominium,Active Under Contract,"['3BEDS', '3TOTAL BATHS', '2,000SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12218328/Chicago/1226-W-Argyle-Street-1E
"6833 N Kedzie Avenue 801, Chicago, IL 60645",60645,"$275,000",Condominium,Active,"['3BEDS', '2TOTAL BATHS', '1,900SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12254092/Chicago/6833-N-Kedzie-Avenue-801
"6658 N Fairfield Avenue, Chicago, IL 60645",60645,"$875,000",Single Family Residence,Active,"['4BEDS', '4TOTAL BATHS']",https://bestchicagoproperties.com/listings/listing/MRED/12219148/Chicago/6658-N-Fairfield-Avenue
"6933 N Kedzie Avenue 305, Chicago, IL 60645 Winston Towers Subdivision",60645,"$188,900",Condominium,Active,"['2BEDS', '2TOTAL BATHS', '1,200SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12223080/Chicago/6933-N-Kedzie-Avenue-305
"2641 W Fitch Avenue 3E, Chicago, IL 60645",60645,"$175,000",Condominium,Active,"['2BEDS', '2TOTAL BATHS']",https://bestchicagoproperties.com/listings/listing/MRED/12254612/Chicago/2641-W-Fitch-Avenue-3E
"6609 N California Avenue, Chicago, IL 60645",60645,"$465,000",Single Family Residence,Active Under Contract,"['3BEDS', '2TOTAL BATHS', '1,500SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12254482/Chicago/6609-N-California-Avenue
"7033 N Kedzie Avenue 1716, Chicago, IL 60645",60645,"$225,000",Condominium,Active,"['3BEDS', '2TOTAL BATHS', '1,900SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12254148/Chicago/7033-N-Kedzie-Avenue-1716
"6433 N Damen Avenue 3E, Chicago, IL 60645",60645,"$213,000",Condominium,Active,"['2BEDS', '2TOTAL BATHS', '986SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12254134/Chicago/6433-N-Damen-Avenue-3E
"6614 N Damen Avenue 2S, Chicago, IL 60645",60645,"$229,000",Condominium,Active,"['3BEDS', '2TOTAL BATHS', '1,000SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12218724/Chicago/6614-N-Damen-Avenue-2S
"6442 N Leavitt Street 2E, Chicago, IL 60645",60645,"$275,000",Condominium,Active,"['3BEDS', '2TOTAL BATHS']",https://bestchicagoproperties.com/listings/listing/MRED/12223298/Chicago/6442-N-Leavitt-Street-2E
"2335 W Farwell Avenue 3N, Chicago, IL 60645",60645,"$199,500",Condominium,Pending,"['2BEDS', '2TOTAL BATHS']",https://bestchicagoproperties.com/listings/listing/MRED/12221018/Chicago/2335-W-Farwell-Avenue-3N
"2756 W Jerome Street, Chicago, IL 60645",60645,"$469,000",Single Family Residence,Active,"['3BEDS', '2TOTAL BATHS', '2,700SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12219635/Chicago/2756-W-Jerome-Street
"7322 N Oakley Avenue, Chicago, IL 60645",60645,"$395,000",Single Family Residence,Active,"['3BEDS', '1TOTAL BATH', '2,272SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12199327/Chicago/7322-N-Oakley-Avenue
"6739 N Mozart Street, Chicago, IL 60645",60645,"$419,000",Single Family Residence,Active Under Contract,"['2BEDS', '2TOTAL BATHS', '1,388SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12203509/Chicago/6739-N-Mozart-Street
"7227 N Ridge Boulevard 3A, Chicago, IL 60645",60645,"$225,000",Condominium,Active,"['2BEDS', '1TOTAL BATH', '1,100SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12218047/Chicago/7227-N-Ridge-Boulevard-3A
"6833 N Kedzie Avenue 709, Chicago, IL 60645 Winston Towers Subdivision",60645,"$144,900",Condominium,Active,"['1BED', '1TOTAL BATH']",https://bestchicagoproperties.com/listings/listing/MRED/12218417/Chicago/6833-N-Kedzie-Avenue-709
"7341 N California Avenue, Chicago, IL 60645",60645,"$749,900",Single Family Residence,Active,"['3BEDS', '5TOTAL BATHS', '3,480SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12188192/Chicago/7341-N-California-Avenue
"7220 N Claremont Avenue AA, Chicago, IL 60645",60645,"$129,900",Condominium,Active,"['1BED', '1TOTAL BATH', '700SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12217542/Chicago/7220-N-Claremont-Avenue-AA
"6933 N Kedzie Avenue 502, Chicago, IL 60645",60645,"$289,000",Condominium,Active Under Contract,"['3BEDS', '2TOTAL BATHS', '2,000SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12212444/Chicago/6933-N-Kedzie-Avenue-502
"7433 N Damen Avenue, Chicago, IL 60645",60645,"$600,000",Multi Family,Active,"['4BEDS', '2TOTAL BATHS']",https://bestchicagoproperties.com/listings/listing/MRED/12214455/Chicago/7433-N-Damen-Avenue
"6428 N Fairfield Avenue 2W, Chicago, IL 60645",60645,"$339,900",Condominium,Active,"['3BEDS', '3TOTAL BATHS']",https://bestchicagoproperties.com/listings/listing/MRED/12215704/Chicago/6428-N-Fairfield-Avenue-2W
"1029 N Keystone Avenue, Chicago, IL 60651",60651,"$95,000",Single Family Residence,Pending,"['3BEDS', '2TOTAL BATHS', '920SQFT']",https://bestchicagoproperties.com/listings/listing/MRED/12254575/Chicago/1029-N-Keystone-Avenue
"1406 N Kildare Avenue, Chicago, IL 60651",60651,"$449,000",Multi Family,Active,"['6BEDS', '3TOTAL BATHS']",https://bestchicagoproperties.com/listings/listing/MRED/12223552/Chicago/1406-N-Kildare-Avenue
